State,ID
Alaska,1
Alabama,0
Arkansas,2
Arizona,3
California,4
Colorado,5
Connecticut,6
District of Columbia,7
Delaware,8
Florida,9
Georgia,10
Hawaii,11
Iowa,12
Idaho,13
Illinois,14
Indiana,15
Kansas,16
Kentucky,17
Louisiana,18
Massachusetts,19
Maryland,20
Maine,21
Michigan,22
Minnesota,23
Missouri,24
Mississippi,25
Montana,26
North Carolina,27
North Dakota,28
Nebraska,29
New Hampshire,30
New Jersey,31
New Mexico,32
Nevada,33
New York,34
Ohio,35
Oklahoma,36
Oregon,37
Pennsylvania,38
Rhode Island,39
South Carolina,40
South Dakota,41
Tennessee,42
Texas,43
Utah,44
Virginia,45
Vermont,46
Washington,47
Wisconsin,48
West Virginia,49
Wyoming,50
